Column1;Column2;Column3;Column4;Column5;Column6;Column7
;;"CROSS PROCESS
LOCATION";;PROCESS LOCATION;;
JET;"ROW +
NOZZLE";pixels;mm;pixels;mm;"SIGNAL & BIT SHIFT
ORDER
1 shifted first / 64
shifted last"
J 732;R9,N061;731;30.9457;80;3.3867;DIN11-41
J 733;R1,N062;732;30.988;0;0;DIN11-25
J 734;R5,N062;733;31.0303;40;1.6933;DIN11-27
J 735;R2,N062;734;31.0727;10;0.4233;DIN11-36
J 736;R4,N062;735;31.115;30;1.27;DIN11-35
J 737;R6,N062;736;31.1573;50;2.1167;DIN11-34
J 738;R3,N062;737;31.1997;20;0.8467;DIN11-26
J 739;R7,N062;738;31.242;60;2.54;DIN11-28
J 740;R11,N062;739;31.2843;100;4.2333;DIN11-30
J 741;R8,N062;740;31.3267;70;2.9633;DIN11-33
J 742;R10,N062;741;31.369;90;3.81;DIN11-32
J 743;R12,N062;742;31.4113;110;4.6567;DIN11-31
J 744;R9,N062;743;31.4537;80;3.3867;DIN11-29
J 745;R1,N063;744;31.496;0;0;DIN11-13
J 746;R5,N063;745;31.5383;40;1.6933;DIN11-15
J 747;R2,N063;746;31.5807;10;0.4233;DIN11-24
J 748;R4,N063;747;31.623;30;1.27;DIN11-23
J 749;R6,N063;748;31.6653;50;2.1167;DIN11-22
J 750;R3,N063;749;31.7077;20;0.8467;DIN11-14
J 751;R7,N063;750;31.75;60;2.54;DIN11-16
J 752;R11,N063;751;31.7923;100;4.2333;DIN11-18
J 753;R8,N063;752;31.8347;70;2.9633;DIN11-21
J 754;R10,N063;753;31.877;90;3.81;DIN11-20
J 755;R12,N063;754;31.9193;110;4.6567;DIN11-19
J 756;R9,N063;755;31.9617;80;3.3867;DIN11-17
J 757;R1,N064;756;32.004;0;0;DIN11-01
J 758;R5,N064;757;32.0463;40;1.6933;DIN11-03
J 759;R2,N064;758;32.0887;10;0.4233;DIN11-12
J 760;R4,N064;759;32.131;30;1.27;DIN11-11
J 761;R6,N064;760;32.1733;50;2.1167;DIN11-10
J 762;R3,N064;761;32.2157;20;0.8467;DIN11-02
J 763;R7,N064;762;32.258;60;2.54;DIN11-04
J 764;R11,N064;763;32.3003;100;4.2333;DIN11-06
J 765;R8,N064;764;32.3427;70;2.9633;DIN11-09
J 766;R10,N064;765;32.385;90;3.81;DIN11-08
J 767;R12,N064;766;32.4273;110;4.6567;DIN11-07
J 768;R9,N064;767;32.4697;80;3.3867;DIN11-05
J 769;R1,N065;768;32.512;0;0;DIN12-53
J 770;R5,N065;769;32.5543;40;1.6933;DIN12-55
